DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,NA,,,,107973,8/15/13 0:00,231,248,239.3,,,,,,
,,NA,,,,93598,8/27/14 0:00,12,4,6.9,,,,,,
,,NA,,,,108593,7/5/12 0:00,2,2,2,,,,,,
,,NA,,,,105618,7/2/13 0:00,1,1,1,,,,,,
,,NA,,,,98229,7/18/06 0:00,104.6,86,94.8,,,,,,
,,NA,,,,104762,7/3/06 0:00,2,3.1,2.5,,,,,,
,,NA,,,,92980,8/14/14 0:00,67,58,62.3,,,,,,
,,NA,,,,106097,7/23/13 0:00,6,17,10.1,,,,,,
,,NA,,,,97761,7/12/06 0:00,19.9,19.9,19.9,,,,,,
,,NA,,,,96646,7/19/11 0:00,81.3,60.5,70.1,,,,,,
,,NA,,,,106074,7/22/13 0:00,1,1,1,,,,,,
,,NA,,,,106726,6/27/14 0:00,8,3,4.9,,,,,,
,,NA,,,,103696,6/6/06 0:00,1,1,1,,,,,,
,,NA,,,,98000,8/10/06 0:00,86.2,344.8,172.4,,,,,,
,,NA,,,,97098,7/26/12 0:00,240,231,235.5,,,,,,
,,NA,,,,110480,7/9/13 0:00,1,1,1,,,,,,
,,NA,,,,108070,6/5/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,107921,8/8/13 0:00,64,51,57.1,,,,,,
,,NA,,,,90296,6/29/11 0:00,1,2,1.4,,,,,,
,,NA,,,,108748,7/17/12 0:00,68.9,49.5,58.4,,,,,,
,,NA,,,,99912,5/14/09 0:00,10.8,4,6.6,,,,,,
,,NA,,,,95499,7/17/14 0:00,14,4,7.5,,,,,,
,,NA,,,,107274,6/29/12 0:00,4.1,1,2,,,,,,
,,NA,,,,103672,6/5/06 0:00,2,3,2.4,,,,,,
,,NA,,,,96917,8/29/13 0:00,3,27,9,,,,,,
,,NA,,,,97921,7/7/06 0:00,40.2,51.2,45.4,,,,,,
,,NA,,,,90186,6/24/11 0:00,20.1,28.3,23.9,,,,,,
,,NA,,,,107974,8/15/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,103758,6/19/06 0:00,10.8,1,3.3,,,,,,
,,NA,,,,97121,7/27/12 0:00,86,77.1,81.4,,,,,,
,,NA,,,,104266,6/28/06 0:00,7.3,9.7,8.4,,,,,,
,,NA,,,,105123,8/16/12 0:00,1,1,1,,,,,,
,,NA,,,,103161,5/30/06 0:00,1,5.2,2.3,,,,,,
,,NA,,,,104257,6/27/06 0:00,1,1,1,,,,,,
,,NA,,,,105530,6/28/13 0:00,56,60,58,,,,,,
,,NA,,,,98341,8/17/06 0:00,686.7,648.8,667.5,,,,,,
,,NA,,,,105754,8/27/12 0:00,95.9,66.3,79.7,,,,,,
,,NA,,,,111287,8/17/12 0:00,96,98.5,97.2,,,,,,
,,NA,,,,107221,6/4/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,108386,6/9/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,96712,7/22/11 0:00,1,11,3.3,,,,,,
,,NA,,,,106398,6/18/12 0:00,26.9,24.6,25.7,,,,,,
,,NA,,,,95455,7/15/14 0:00,1,1,1,,,,,,
,,NA,,,,104233,6/26/06 0:00,1,1,1,,,,,,
,,NA,,,,97478,8/30/11 0:00,686.7,325.5,472.8,,,,,,
,,NA,,,,109395,8/20/13 0:00,649,238,393,,,,,,
,,NA,,,,96668,7/20/11 0:00,114.5,68.3,88.4,,,,,,
,,NA,,,,98282,7/20/06 0:00,101.4,410.6,204,,,,,,
,,NA,,,,98169,6/7/07 0:00,14.4,15.6,15,,,,,,
,,NA,,,,106704,6/26/14 0:00,26,42,33,,,,,,
,,NA,,,,107933,8/8/13 0:00,121,122,121.5,,,,,,
,,NA,,,,104184,6/22/06 0:00,1,1,1,,,,,,
,,NA,,,,111752,5/29/14 0:00,2420,1414,1849.8,,,,,,
,,NA,,,,106086,7/22/13 0:00,127,99,112.1,,,,,,
,,NA,,,,111949,8/29/12 0:00,107.1,139.6,122.3,,,,,,
,,NA,,,,104612,6/16/06 0:00,13.1,21.6,16.8,,,,,,
,,NA,,,,95477,7/16/14 0:00,30,55,40.6,,,,,,
,,NA,,,,107961,8/15/13 0:00,238,345,286.5,,,,,,
,,NA,,,,111252,6/26/13 0:00,1,1,1,,,,,,
,,NA,,,,107003,7/30/13 0:00,45,,6.7,,,,,,
,,NA,,,,103430,8/28/06 0:00,123.4,152.9,137.4,,,,,,
,,NA,,,,90340,7/1/11 0:00,1,5.2,2.3,,,,,,
,,NA,,,,104374,8/2/06 0:00,148.3,238.5,188.1,,,,,,
,,NA,,,,103248,7/26/06 0:00,4.1,9.8,6.3,,,,,,
,,NA,,,,98487,6/21/07 0:00,1,1,1,,,,,,
,,NA,,,,98330,8/16/06 0:00,65,70.3,67.6,,,,,,
,,NA,,,,109285,8/10/13 0:00,1966,687,1162.2,,,,,,
